, player_id, player, team, position,min,max,ADP,count
186,13589,"Allen, Josh",BUF,QB,1.0,7.0,1.6,92
142,13116,"Mahomes, Patrick",KCC,QB,1.0,18.0,3.6,92
291,14779,"Herbert, Justin",LAC,QB,1.0,8.0,3.7,92
299,14802,"Taylor, Jonathan",IND,RB,1.0,14.0,4.4,94
377,5848,"Brady, Tom",TBB,QB,1.0,32.0,7.3,92
189,13593,"Jackson, Lamar",BAL,QB,3.0,16.0,7.4,92
289,14777,"Burrow, Joe",CIN,QB,3.0,30.0,8.3,92
239,14056,"Murray, Kyler",ARI,QB,2.0,31.0,8.6,92
48,10703,"Wilson, Russell",SEA,QB,3.0,38.0,11.0,92
378,7836,"Rodgers, Aaron",GBP,QB,3.0,35.0,11.5,92
110,12620,"Prescott, Dak",DAL,QB,3.0,37.0,11.7,92
380,9431,"Stafford, Matthew",LAR,QB,7.0,42.0,13.7,92
292,14783,"Hurts, Jalen",PHI,QB,6.0,48.0,14.0,92
158,13164,"Kupp, Cooper",LAR,WR,2.0,36.0,15.3,92
145,13130,"McCaffrey, Christian",CAR,RB,2.0,34.0,15.9,94
112,12626,"Henry, Derrick",TEN,RB,3.0,39.0,17.4,94
66,11644,"Carr, Derek",LVR,QB,13.0,70.0,19.0,92
180,13404,"Ekeler, Austin",LAC,RB,2.0,49.0,19.4,94
307,14836,"Jefferson, Justin",MIN,WR,2.0,35.0,19.6,92
47,10700,"Cousins, Kirk",MIN,QB,13.0,60.0,20.0,92
140,13113,"Watson, Deshaun",HOU,QB,7.0,52.0,22.2,92
0,0501,"Bills, Buffalo",BUF,Def,1.0,106.0,23.9,92
355,15281,"Chase, Ja'Marr",CIN,WR,5.0,52.0,24.3,92
290,14778,"Tagovailoa, Tua",MIA,QB,16.0,72.0,25.8,92
343,15254,"Harris, Najee",PIT,RB,6.0,53.0,27.9,94
143,13128,"Cook, Dalvin",MIN,RB,2.0,76.0,29.7,94
62,11244,"Kelce, Travis",KCC,TE,3.0,54.0,29.9,92
339,15240,"Lance, Trey",SFO,QB,14.0,93.0,30.4,92
146,13131,"Mixon, Joe",CIN,RB,8.0,59.0,33.1,94
379,9099,"Ryan, Matt",ATL,QB,16.0,68.0,33.7,92
27,0528,"Rams, Los Angeles",LAR,Def,8.0,112.0,33.8,92
194,13610,"Chubb, Nick",CLE,RB,7.0,66.0,36.2,94
71,11675,"Adams, Davante",GBP,WR,13.0,69.0,36.3,92
209,13671,"Andrews, Mark",BAL,TE,9.0,65.0,37.1,92
24,0525,"Buccaneers, Tampa Bay",TBB,Def,17.0,126.0,37.3,92
45,10697,"Tannehill, Ryan",TEN,QB,18.0,94.0,37.6,92
259,14136,"Samuel, Deebo",SFO,WR,16.0,68.0,41.5,92
86,12140,"Winston, Jameis",NOS,QB,11.0,92.0,41.6,92
15,0516,"Cowboys, Dallas",DAL,Def,16.0,160.0,42.7,92
28,0529,"Saints, New Orleans",NOS,Def,18.0,148.0,43.7,91
304,14832,"Lamb, CeeDee",DAL,WR,18.0,86.0,44.7,92
336,15237,"Lawrence, Trevor",JAC,QB,17.0,124.0,44.8,92
294,14797,"Swift, D'Andre",DET,RB,6.0,79.0,45.1,94
3,0504,"Patriots, New England",NEP,Def,23.0,161.0,45.4,92
337,15238,"Fields, Justin",CHI,QB,18.0,92.0,45.5,92
29,0530,"49ers, San Francisco",SFO,Def,18.0,202.0,46.0,92
94,12186,"Diggs, Stefon",BUF,WR,18.0,89.0,46.5,92
340,15241,"Jones, Mac",NEP,QB,18.0,100.0,47.7,92
147,13132,"Kamara, Alvin",NOS,RB,9.0,91.0,50.4,94
144,13129,"Fournette, Leonard",TBB,RB,20.0,86.0,51.4,94
190,13604,"Barkley, Saquon",NYG,RB,20.0,96.0,53.9,94
175,13319,"Jones, Aaron",GBP,RB,18.0,107.0,54.4,94
338,15239,"Wilson, Zach",NYJ,QB,20.0,122.0,54.5,92
1,0502,"Colts, Indianapolis",IND,Def,23.0,166.0,54.6,92
22,0523,"Packers, Green Bay",GBP,Def,23.0,110.0,56.0,90
345,15256,"Williams, Javonte",DEN,RB,18.0,85.0,56.6,94
136,12801,"Hill, Tyreek",KCC,WR,24.0,96.0,57.1,92
9,0510,"Steelers, Pittsburgh",PIT,Def,20.0,236.0,57.6,92
366,15329,"Pitts, Kyle",ATL,TE,15.0,90.0,58.3,92
13,0514,"Chargers, Los Angeles",LAC,Def,22.0,208.0,58.9,92
152,13146,"Conner, James",ARI,RB,21.0,92.0,60.2,94
2,0503,"Dolphins, Miami",MIA,Def,30.0,168.0,60.9,92
17,0518,"Eagles, Philadelphia",PHI,Def,22.0,138.0,62.3,91
69,11671,"Evans, Mike",TBB,WR,30.0,93.0,62.9,92
7,0508,"Titans, Tennessee",TEN,Def,26.0,188.0,66.3,92
10,0511,"Broncos, Denver",DEN,Def,23.0,132.0,67.1,90
30,0531,"Ravens, Baltimore",BAL,Def,31.0,239.0,67.2,91
111,12625,"Elliott, Ezekiel",DAL,RB,24.0,99.0,69.8,94
252,14104,"Brown, A.J.",TEN,WR,38.0,108.0,71.1,92
5,0506,"Bengals, Cincinnati",CIN,Def,21.0,154.0,71.2,91
243,14071,"Montgomery, David",CHI,RB,32.0,123.0,71.4,94
172,13299,"Kittle, George",SFO,TE,31.0,110.0,72.1,92
6,0507,"Browns, Cleveland",CLE,Def,32.0,188.0,72.3,92
107,12610,"Wentz, Carson",IND,QB,30.0,146.0,72.3,92
108,12611,"Goff, Jared",DET,QB,29.0,141.0,74.1,92
58,11222,"Allen, Keenan",LAC,WR,36.0,112.0,75.3,92
341,15252,"Mills, Davis",HOU,QB,16.0,140.0,75.7,92
296,14799,"Akers, Cam",LAR,RB,19.0,133.0,75.8,94
11,0512,"Chiefs, Kansas City",KCC,Def,46.0,166.0,77.2,90
306,14835,"Higgins, Tee",CIN,WR,35.0,116.0,77.5,92
241,14059,"Jones, Daniel",NYG,QB,35.0,154.0,79.0,92
101,12263,"Waller, Darren",LVR,TE,32.0,125.0,81.0,92
19,0520,"FootballTeam, Washington",WAS,Def,34.0,140.0,81.5,90
18,0519,"Cardinals, Arizona",ARI,Def,43.0,144.0,81.9,90
317,14852,"Gibson, Antonio",WAS,RB,25.0,119.0,83.2,94
297,14800,"Dobbins, J.K.",BAL,RB,23.0,151.0,84.4,94
23,0524,"Vikings, Minnesota",MIN,Def,43.0,134.0,85.1,90
26,0527,"Panthers, Carolina",CAR,Def,47.0,200.0,85.5,90
20,0521,"Bears, Chicago",CHI,Def,37.0,174.0,85.5,90
244,14073,"Jacobs, Josh",LVR,RB,25.0,128.0,86.6,94
312,14842,"Pittman, Michael",IND,WR,39.0,133.0,87.6,92
351,15263,"Mitchell, Elijah",SFO,RB,27.0,191.0,89.3,93
358,15284,"Waddle, Jaylen",MIA,WR,56.0,148.0,95.9,92
91,12175,"Cooper, Amari",DAL,WR,50.0,155.0,97.2,92
342,15253,"Etienne, Travis",JAC,RB,26.0,150.0,97.3,94
251,14102,"Metcalf, DK",SEA,WR,42.0,139.0,97.7,91
276,14208,"Johnson, Diontae",PIT,WR,55.0,156.0,100.8,92
12,0513,"Raiders, Las Vegas",LVR,Def,60.0,213.0,102.5,90
245,14075,"Harris, Damien",NEP,RB,43.0,198.0,103.0,93
202,13635,"Moore, D.J.",CAR,WR,56.0,164.0,106.5,90
16,0517,"Giants, New York",NYG,Def,59.0,208.0,109.1,90
300,14803,"Edwards-Helaire, Clyde",KCC,RB,41.0,164.0,111.4,93
31,0532,"Texans, Houston",HOU,Def,68.0,222.0,113.6,90
301,14805,"Dillon, AJ",GBP,RB,40.0,202.0,113.7,93
254,14109,"McLaurin, Terry",WAS,WR,58.0,186.0,114.1,91
72,11678,"Robinson, Allen",CHI,WR,59.0,158.0,116.0,92
157,13163,"Godwin, Chris",TBB,WR,39.0,188.0,116.0,90
154,13154,"Williams, Mike",LAC,WR,69.0,182.0,116.6,91
70,11674,"Cooks, Brandin",HOU,WR,73.0,187.0,116.7,91
253,14105,"Brown, Marquise",BAL,WR,75.0,178.0,117.6,92
229,13772,"Schultz, Dalton",DAL,TE,58.0,170.0,117.6,91
261,14138,"Hockenson, T.J.",DET,TE,75.0,205.0,118.8,91
83,11938,"Thielen, Adam",MIN,WR,60.0,185.0,118.9,90
4,0505,"Jets, New York",NYJ,Def,70.0,197.0,119.1,91
246,14079,"Sanders, Miles",PHI,RB,27.0,189.0,119.8,93
87,12141,"Mariota, Marcus",LVR,QB,52.0,212.0,121.2,90
14,0515,"Seahawks, Seattle",SEA,Def,72.0,215.0,122.9,90
155,13156,"Smith-Schuster, JuJu",PIT,WR,77.0,186.0,122.9,89
21,0522,"Lions, Detroit",DET,Def,51.0,236.0,123.1,90
59,11225,"Patterson, Cordarrelle",ATL,WR,43.0,209.0,123.5,91
198,13630,"Sutton, Courtland",DEN,WR,63.0,188.0,127.8,90
332,14974,"Mooney, Darnell",CHI,WR,83.0,175.0,128.6,90
247,14080,"Singletary, Devin",BUF,RB,41.0,188.0,128.9,91
211,13674,"Goedert, Dallas",PHI,TE,84.0,203.0,130.2,89
116,12652,"Thomas, Michael",NOS,WR,68.0,202.0,131.2,89
8,0509,"Jaguars, Jacksonville",JAC,Def,69.0,242.0,131.9,91
150,13138,"Hunt, Kareem",CLE,RB,54.0,270.0,134.7,89
363,15293,"Bateman, Rashod",BAL,WR,80.0,171.0,135.7,87
314,14845,"Davis, Gabriel",BUF,WR,73.0,205.0,135.8,87
305,14833,"Jeudy, Jerry",DEN,WR,80.0,208.0,140.7,87
249,14085,"Pollard, Tony",DAL,RB,42.0,223.0,142.4,89
25,0526,"Falcons, Atlanta",ATL,Def,90.0,229.0,143.6,89
193,13608,"Penny, Rashaad",SEA,RB,53.0,234.0,145.8,90
359,15287,"St. Brown, Amon-Ra",DET,WR,89.0,206.0,147.8,86
257,14123,"Renfrow, Hunter",LVR,WR,77.0,219.0,149.3,84
225,13726,"Edmonds, Chase",ARI,RB,44.0,225.0,150.6,85
89,12151,"Gordon, Melvin",DEN,RB,54.0,203.0,151.1,87
141,13115,"Trubisky, Mitchell",BUF,QB,63.0,238.0,152.8,80
263,14143,"Knox, Dawson",BUF,TE,103.0,246.0,155.8,86
360,15288,"Moore, Elijah",NYJ,WR,98.0,233.0,156.7,84
95,12187,"Lockett, Tyler",SEA,WR,105.0,227.0,157.4,84
63,11247,"Ertz, Zach",ARI,TE,88.0,256.0,158.0,86
200,13632,"Lazard, Allen",GBP,WR,81.0,221.0,159.0,82
310,14840,"Aiyuk, Brandon",SFO,WR,103.0,216.0,161.1,84
356,15282,"Smith, DeVonta",PHI,WR,97.0,222.0,161.6,86
60,11228,"Woods, Robert",LAR,WR,111.0,236.0,165.7,82
368,15331,"Freiermuth, Pat",PIT,TE,101.0,238.0,166.7,82
61,11232,"Hopkins, DeAndre",ARI,WR,102.0,221.0,168.7,82
210,13672,"Gesicki, Mike",MIA,TE,99.0,239.0,170.8,82
79,11760,"Garoppolo, Jimmy",SFO,QB,61.0,266.0,172.3,77
311,14841,"Claypool, Chase",PIT,WR,114.0,228.0,173.3,81
348,15259,"Stevenson, Rhamondre",NEP,RB,59.0,242.0,174.1,86
303,14813,"Robinson, James",JAC,RB,76.0,257.0,174.3,82
201,13633,"Kirk, Christian",ARI,WR,89.0,251.0,176.0,83
188,13592,"Darnold, Sam",CAR,QB,78.0,273.0,176.9,74
205,13646,"Gallup, Michael",DAL,WR,119.0,265.0,182.1,75
55,11150,"Smith, Geno",SEA,QB,63.0,271.0,182.6,77
382,9902,"Gronkowski, Rob",TBB,TE,127.0,250.0,188.1,75
191,13606,"Jones, Ronald",TBB,RB,72.0,256.0,188.8,80
231,13809,"Gage, Russell",ATL,WR,132.0,264.0,190.1,76
118,12676,"Henry, Hunter",NEP,TE,113.0,268.0,190.5,78
187,13590,"Mayfield, Baker",CLE,QB,76.0,266.0,194.5,74
161,13192,"Njoku, David",CLE,TE,86.0,270.0,195.4,76
256,14113,"Hardman, Mecole",KCC,WR,117.0,273.0,195.4,70
347,15258,"Carter, Michael",NYJ,RB,61.0,272.0,195.8,74
115,12650,"Boyd, Tyler",CIN,WR,121.0,271.0,198.6,70
277,14223,"Mattison, Alexander",MIN,RB,69.0,261.0,199.1,76
92,12176,"Parker, DeVante",MIA,WR,120.0,268.0,200.5,68
207,13668,"Chark, D.J.",JAC,WR,118.0,273.0,200.6,73
166,13234,"Mack, Marlon",IND,RB,70.0,269.0,200.7,69
321,14867,"Kmet, Cole",CHI,TE,137.0,259.0,200.7,69
195,13622,"Hines, Nyheim",IND,RB,60.0,261.0,201.9,70
250,14087,"Henderson, Darrell",LAR,RB,58.0,273.0,205.7,73
323,14873,"Okwuegbunam, Albert",DEN,TE,132.0,265.0,206.2,72
148,13133,"Perine, Samaje",CIN,RB,88.0,273.0,206.3,9
139,13108,"McKissic, J.D.",WAS,RB,73.0,266.0,206.4,62
240,14057,"Lock, Drew",DEN,QB,103.0,272.0,207.7,59
182,13424,"Hill, Taysom",NOS,QB,120.0,273.0,208.8,59
74,11680,"Landry, Jarvis",CLE,WR,133.0,271.0,209.3,65
196,13623,"Williams, Darrel",KCC,RB,71.0,266.0,209.9,63
230,13793,"Valdes-Scantling, Marquez",GBP,WR,143.0,270.0,210.0,70
361,15289,"Toney, Kadarius",NYG,WR,145.0,272.0,210.9,68
248,14081,"Gaskin, Myles",MIA,RB,104.0,260.0,212.5,6
49,10738,"Jones, Marvin",JAC,WR,134.0,268.0,213.3,59
262,14141,"Smith Jr., Irv",MIN,TE,94.0,260.0,213.7,66
260,14137,"Fant, Noah",DEN,TE,140.0,269.0,215.7,62
170,13277,"Golladay, Kenny",NYG,WR,154.0,273.0,219.0,63
167,13236,"Everett, Gerald",SEA,TE,157.0,266.0,219.0,59
258,14127,"Meyers, Jakobi",NEP,WR,114.0,273.0,220.5,61
153,13153,"Davis, Corey",NYJ,WR,136.0,269.0,221.3,60
181,13418,"Bourne, Kendrick",NEP,WR,125.0,270.0,221.9,54
298,14801,"Benjamin, Eno",ARI,RB,94.0,268.0,221.9,9
344,15255,"Gainwell, Kenneth",PHI,RB,71.0,272.0,222.9,62
183,13427,"Tonyan, Robert",GBP,TE,146.0,264.0,224.5,62
105,12447,"Mostert, Raheem",SFO,RB,87.0,271.0,225.9,33
109,12616,"Brissett, Jacoby",MIA,QB,145.0,269.0,226.2,22
177,13377,"Patrick, Tim",DEN,WR,131.0,273.0,227.0,61
234,13850,"Edwards, Gus",BAL,RB,78.0,273.0,227.5,48
151,13139,"Williams, Jamaal",DET,RB,77.0,273.0,228.1,47
346,15257,"Sermon, Trey",SFO,RB,124.0,259.0,228.3,7
149,13134,"Foreman, D'Onta",TEN,RB,112.0,272.0,228.5,35
82,11886,"Williams, Damien",CHI,RB,178.0,269.0,229.0,12
93,12184,"Crowder, Jamison",NYJ,WR,175.0,258.0,229.5,37
138,12930,"Anderson, Robby",CAR,WR,144.0,271.0,229.6,47
349,15261,"Hubbard, Chuba",CAR,RB,95.0,266.0,229.8,36
235,13863,"Pringle, Byron",KCC,WR,171.0,272.0,230.7,7
85,12110,"Brate, Cameron",TBB,TE,116.0,273.0,231.3,37
357,15283,"Moore, Rondale",ARI,WR,163.0,273.0,232.9,54
319,14858,"Jefferson, Van",LAR,WR,173.0,270.0,233.2,54
44,10413,"Taylor, Tyrod",HOU,QB,210.0,267.0,233.6,9
40,10276,"Ingram, Mark",NOS,RB,121.0,272.0,233.8,37
214,13680,"Hurst, Hayden",ATL,TE,151.0,272.0,235.1,44
176,13364,"Carson, Chris",SEA,RB,158.0,272.0,236.8,24
67,11647,"Thomas, Logan",WAS,TE,171.0,271.0,237.0,51
64,11640,"Bridgewater, Teddy",DEN,QB,203.0,269.0,237.5,8
120,12678,"Higbee, Tyler",LAR,TE,176.0,273.0,238.0,42
333,14977,"Osborn, K.J.",MIN,WR,179.0,272.0,238.5,46
313,14844,"Edwards, Bryan",LVR,WR,152.0,270.0,238.7,42
192,13607,"Michel, Sony",LAR,RB,103.0,273.0,239.0,42
353,15271,"Herbert, Khalil",CHI,RB,89.0,273.0,239.3,43
113,12630,"Drake, Kenyan",LVR,RB,86.0,268.0,239.8,25
56,11182,"Burkhead, Rex",HOU,RB,88.0,270.0,239.8,17
204,13642,"Tate, Auden",CIN,WR,195.0,266.0,240.4,8
318,14857,"Peoples-Jones, Donovan",CLE,WR,183.0,273.0,240.4,39
68,11670,"Watkins, Sammy",BAL,WR,162.0,273.0,240.5,24
156,13157,"Samuel, Curtis",WAS,WR,184.0,271.0,240.8,24
160,13189,"Engram, Evan",NYG,TE,148.0,271.0,241.0,52
32,10261,"Green, A.J.",ARI,WR,190.0,269.0,241.2,18
117,12658,"Shepard, Sterling",NYG,WR,157.0,268.0,241.2,17
104,12317,"Uzomah, C.J.",CIN,TE,150.0,273.0,241.6,25
77,11747,"White, James",NEP,RB,76.0,271.0,241.8,24
178,13378,"Breida, Matt",BUF,RB,120.0,273.0,243.2,13
293,14789,"Huntley, Tyler",BAL,QB,204.0,271.0,243.4,11
203,13638,"Berrios, Braxton",NYJ,WR,188.0,273.0,244.9,16
73,11679,"Beckham, Odell",LAR,WR,154.0,270.0,245.1,13
238,14017,"Wilson, Jeffery",SFO,RB,195.0,270.0,245.3,6
315,14847,"Duvernay, Devin",BAL,WR,178.0,271.0,246.3,22
283,14331,"Johnson, D'Ernest",CLE,RB,123.0,273.0,247.5,19
42,10308,"Cobb, Randall",GBP,WR,222.0,271.0,247.8,10
362,15290,"Collins, Nico",HOU,WR,217.0,272.0,250.1,16
308,14837,"Hamler, KJ",DEN,WR,205.0,273.0,250.2,16
364,15308,"Marshall, Terrace",CAR,WR,222.0,269.0,250.8,6
322,14870,"Trautman, Adam",NOS,TE,214.0,269.0,250.9,12
309,14838,"Shenault, Laviska",JAC,WR,185.0,272.0,251.1,13
255,14112,"Campbell, Parris",IND,WR,220.0,269.0,251.2,11
233,13814,"Scott, Boston",PHI,RB,189.0,273.0,251.6,10
169,13246,"Alie-Cox, Mo",IND,TE,181.0,273.0,251.6,10
335,15109,"Westbrook-Ikhine, Nick",TEN,WR,213.0,267.0,251.8,8
119,12677,"Hooper, Austin",CLE,TE,193.0,273.0,252.1,28
365,15319,"Palmer, Josh",LAC,WR,213.0,273.0,252.7,21
367,15330,"Jordan, Brevin",HOU,TE,172.0,273.0,252.8,20
114,12647,"Fuller, Will",MIA,WR,223.0,272.0,256.1,18
284,14337,"Guyton, Jalen",LAC,WR,237.0,272.0,256.2,6
