,dynasty_league_id,league_name,url
0,10292,zzz #FCEliminator 2022 BOSCH NO LIMITS,http://www49.myfantasyleague.com/2022/home/10292
1,10761,zzz #FCEliminator 2022 DYNASTY HOT SAUCE,http://www49.myfantasyleague.com/2022/home/10761
2,10859,zzz #FCEliminator 2022 KEVIN TOMPKINS 2,http://www49.myfantasyleague.com/2022/home/10859
3,11064,zzz #FCEliminator 2022 JJ ZACHARIASON 3,http://www49.myfantasyleague.com/2022/home/11064
4,11445,zzz #FCEliminator 2022 ADAM MURFET 2,http://www49.myfantasyleague.com/2022/home/11445
5,11575,zzz #FCEliminator 2022 HEATH CUMMINGS 3,http://www49.myfantasyleague.com/2022/home/11575
6,11657,zzz #FCEliminator 2022 JUSTIN BOONE 2,http://www49.myfantasyleague.com/2022/home/11657
7,12169,zzz #FCEliminator 2022 MIKE WRIGHT 1,http://www49.myfantasyleague.com/2022/home/12169
8,12203,zzz #FCEliminator 2022 RICH DOTSON,http://www49.myfantasyleague.com/2022/home/12203
9,12337,zzz #FCEliminator 2022 DYNASTY DUMMIES POD,http://www49.myfantasyleague.com/2022/home/12337
10,12748,zzz #FCEliminator 2022 MIKE BEERS,http://www49.myfantasyleague.com/2022/home/12748
11,12908,zzz #FCEliminator 2022 MICHELLE MAGDZIUK,http://www49.myfantasyleague.com/2022/home/12908
12,14790,zzz #FCEliminator 2022 JAMES BRIMACOMBE,http://www49.myfantasyleague.com/2022/home/14790
13,15323,zzz #FCEliminator NON scoring site DYNASTYTRADESHQ,http://www48.myfantasyleague.com/2022/home/15323
14,15389,zzz #FCEliminator 2022 ADAM MURFET,http://www49.myfantasyleague.com/2022/home/15389
15,15682,zzz #FCEliminator 2022 RYAN MCDOWELL 1	,http://www49.myfantasyleague.com/2022/home/15682
16,15701,zzz #FCEliminator 2022 JIM COVENTRY,http://www49.myfantasyleague.com/2022/home/15701
17,15736,zzz #FCEliminator 2022 MATT HARMON 2,http://www49.myfantasyleague.com/2022/home/15736
18,16084,zzz #FCEliminator 2022 DAVE KLUGE 1,http://www49.myfantasyleague.com/2022/home/16084
19,16342,zzz #FCEliminator 2022 JEN EAKINS,http://www49.myfantasyleague.com/2022/home/16342
20,16433,zzz #FCEliminator 2022 BONNIE FANTASYQUEENB,http://www49.myfantasyleague.com/2022/home/16433
21,16724,zzz #FCEliminator 2022 DYNASTY TRADES HQ POD TEAM	,http://www49.myfantasyleague.com/2022/home/16724
22,16984,zzz #FCEliminator 2022 TOM EVERETT SCOTT 1,http://www49.myfantasyleague.com/2022/home/16984
23,17887,zzz #FCEliminator 2022 TIM TURNER,http://www49.myfantasyleague.com/2022/home/17887
24,18057,zzz #FCEliminator 2022 RYAN MCDOWELL 4,http://www49.myfantasyleague.com/2022/home/18057
25,18392,zzz #FCEliminator 2022 JJ ZACHARIASON 2,http://www49.myfantasyleague.com/2022/home/18392
26,18573,zzz #FCEliminator 2022 SCOTT FISH 2,http://www49.myfantasyleague.com/2022/home/18573
27,19642,zzz #FCEliminator 2022 JJ ZACHARIASON 4,http://www49.myfantasyleague.com/2022/home/19642
28,19671,zzz #FCEliminator 2022 TOD BURROS,http://www49.myfantasyleague.com/2022/home/19671
29,19748,zzz #FCEliminator 2022 BOBBY KOCH,http://www49.myfantasyleague.com/2022/home/19748
30,19986,zzz #FCEliminator 2022 ANDY BEHRENS,http://www49.myfantasyleague.com/2022/home/19986
31,20360,zzz #FCEliminator 2022 TROY KING,http://www49.myfantasyleague.com/2022/home/20360
32,20382,zzz 2022 Eliminator TK Special IDP ,http://www49.myfantasyleague.com/2022/home/20382
33,21046,zzz #FCEliminator 2022 ARBY'S YUM Run It Back,http://www49.myfantasyleague.com/2022/home/21046
34,21050,zzz #FCEliminator 2022 zzzTemplateXXXXXXXXXXXXXXXXXXXXXX,http://www49.myfantasyleague.com/2022/home/21050
35,22055,zzz #FCEliminator 2022 MICHAEL FLORIO,http://www49.myfantasyleague.com/2022/home/22055
36,23062,zzz #FCEliminator 2022 SIGMUND BLOOM 2	,http://www49.myfantasyleague.com/2022/home/23062
37,23093,zzz #FCEliminator 2022 DAN TURNER,http://www49.myfantasyleague.com/2022/home/23093
38,23156,zzz #FCEliminator 2022 BOSCH AUCTION 2,http://www49.myfantasyleague.com/2022/home/23156
39,23605,zzz #FCEliminator 2022 PETER OVERZET,http://www49.myfantasyleague.com/2022/home/23605
40,24764,zzz #FCEliminator 2022 RICH HRIBAR 2,http://www49.myfantasyleague.com/2022/home/24764
41,24954,zzz #FCEliminator 2022 JEFF MANS,http://www49.myfantasyleague.com/2022/home/24954
42,25323,zzz #FCEliminator 2022 ANGER MANAGEMENT FF POD,http://www49.myfantasyleague.com/2022/home/25323
43,25414,zzz #FCEliminator 2022 ARBY'S YUM,http://www49.myfantasyleague.com/2022/home/25414
44,26248,zzz #FCEliminator 2022 KANE FOSSELL,http://www49.myfantasyleague.com/2022/home/26248
45,27218,zzz #FCEliminator 2022 CLOCKDODGERS,http://www49.myfantasyleague.com/2022/home/27218
46,27399,zzz #FCEliminator 2022 LINDELLIONS (WITH PUNTERS)	,http://www49.myfantasyleague.com/2022/home/27399
47,27841,zzz #FCEliminator 2022 DAVIS MATTEK,http://www49.myfantasyleague.com/2022/home/27841
48,28031,zzz #FCEliminator 2022 ANDREW HALL,http://www49.myfantasyleague.com/2022/home/28031
49,28574,zzz #FCEliminator 2022 BOSCH AUCTION 1,http://www49.myfantasyleague.com/2022/home/28574
50,28844,zzz #FCEliminator 2022 RYAN MCDOWELL 5,http://www49.myfantasyleague.com/2022/home/28844
51,28962,zzz #FCEliminator 2022 JAVIER MANZANERA,http://www49.myfantasyleague.com/2022/home/28962
52,29281,zzz #FCEliminator 2022 JEFF BELL 2,http://www49.myfantasyleague.com/2022/home/29281
53,29484,zzz #FCEliminator 2022 ADAM LEVITAN	,http://www49.myfantasyleague.com/2022/home/29484
54,29628,zzz #FCEliminator 2022 KEVIN TOMPKINS	,http://www49.myfantasyleague.com/2022/home/29628
55,30552,zzz #FCEliminator 2022 TAGS BENEFIT (DEREK BROWN)	,http://www49.myfantasyleague.com/2022/home/30552
56,30842,zzz #FCEliminator 2022 COOTERDOODLE 3	,http://www49.myfantasyleague.com/2022/home/30842
57,31571,zzz #FCEliminator 2022 DAN CLASGENS,http://www49.myfantasyleague.com/2022/home/31571
58,32800,zzz #FCEliminator 2022 MATTHEW BERRY,http://www49.myfantasyleague.com/2022/home/32800
59,33090,zzz #FCEliminator 2022 DOUG EDDY,http://www49.myfantasyleague.com/2022/home/33090
60,34674,zzz #FCEliminator 2022 BOB HARRIS 1,http://www49.myfantasyleague.com/2022/home/34674
61,34829,zzz #FCEliminator 2022 HEATH CUMMINGS 2,http://www49.myfantasyleague.com/2022/home/34829
62,35985,zzz #FCEliminator 2022 SCOTT BARRETT AND CURTIS PATRICK,http://www49.myfantasyleague.com/2022/home/35985
63,36197,zzz #FCEliminator 2022 WAZ (TD),http://www49.myfantasyleague.com/2022/home/36197
64,36355,zzz #FCEliminator 2022 LUKE SAWHOOK,http://www49.myfantasyleague.com/2022/home/36355
65,37239,zzz #FCEliminator 2022 UTH KATIE/TIM,http://www49.myfantasyleague.com/2022/home/37239
66,37475,zzz #FCEliminator 2022 DANNY KELLY,http://www49.myfantasyleague.com/2022/home/37475
67,37691,zzz #FCEliminator 2022 IN BETWEEN FF POD,http://www49.myfantasyleague.com/2022/home/37691
68,37747,zzz #FCEliminator 2022 KACEY KASEM 2,http://www49.myfantasyleague.com/2022/home/37747
69,37982,zzz #FCEliminator 2022 KEVIN OBRIEN,http://www49.myfantasyleague.com/2022/home/37982
70,38031,zzz #FCEliminator 2022 DYNASTY WALL ST,http://www49.myfantasyleague.com/2022/home/38031
71,38040,zzz #FCEliminator 2022 RUSSELL CLAY,http://www49.myfantasyleague.com/2022/home/38040
72,39126,zzz #FCEliminator 2022 FLAFFL,http://www49.myfantasyleague.com/2022/home/39126
73,39200,zzz #FCEliminator 2022 SCOTT FISH 1	,http://www49.myfantasyleague.com/2022/home/39200
74,39518,zzz #FCEliminator 2022 SAMANTHA PREVITE	1,http://www49.myfantasyleague.com/2022/home/39518
75,39781,zzz #FCEliminator 2022 GRAHAM BARFIELD,http://www49.myfantasyleague.com/2022/home/39781
76,40698,zzz #FCEliminator 2022 TAGS BENEFIT (JOE PISAPIA)	,http://www49.myfantasyleague.com/2022/home/40698
77,41202,zzz #FCEliminator 2022 JAKE TROWBRIDGE	,http://www49.myfantasyleague.com/2022/home/41202
78,41246,zzz #FCEliminator 2022 DAVE KLUGE 2,http://www49.myfantasyleague.com/2022/home/41246
79,41510,zzz #FCEliminator 2022 NATHAN POWELL,http://www49.myfantasyleague.com/2022/home/41510
80,41798,zzz #FCEliminator 2022 JEFF BELL,http://www49.myfantasyleague.com/2022/home/41798
81,42071,zzz #FCEliminator 2022 KACEY KASEM,http://www49.myfantasyleague.com/2022/home/42071
82,42170,zzz #FCEliminator 2022 DADDYSHOME,http://www49.myfantasyleague.com/2022/home/42170
83,42226,zzz #FCEliminator 2022 TRAVIS MAY,http://www49.myfantasyleague.com/2022/home/42226
84,43031,zzz #FCEliminator 2022 RICH HRIBAR 1,http://www49.myfantasyleague.com/2022/home/43031
85,43201,zzz #FCEliminator 2022 MARCAS GRANT,http://www49.myfantasyleague.com/2022/home/43201
86,43701,zzz #FCEliminator 2022 MICHAEL FABIANO,http://www49.myfantasyleague.com/2022/home/43701
87,43829,zzz #FCEliminator 2022 TYLER GUENTHNER,http://www49.myfantasyleague.com/2022/home/43829
88,43960,zzz #FCEliminator 2022 HEATH CUMMINGS 1	,http://www49.myfantasyleague.com/2022/home/43960
89,44428,zzz #FCEliminator 2022 SAMANTHA PREVITE 2,http://www49.myfantasyleague.com/2022/home/44428
90,44565,zzz #FCEliminator 2022 NICK SKRIP,http://www49.myfantasyleague.com/2022/home/44565
91,45997,zzz #FCEliminator 2022 JOSH HERMSMEYER,http://www49.myfantasyleague.com/2022/home/45997
92,46254,zzz #FCEliminator 2022 JAMIE CALANDRO,http://www49.myfantasyleague.com/2022/home/46254
93,46630,zzz #FCEliminator 2022 BO MCBRAYER,http://www49.myfantasyleague.com/2022/home/46630
94,46798,zzz #FCEliminator 2022 NICK WHALEN,http://www49.myfantasyleague.com/2022/home/46798
95,47307,zzz #FCEliminator 2022 ADAM AIZER,http://www49.myfantasyleague.com/2022/home/47307
96,47601,zzz #FCEliminator 2022 TOM EVERETT SCOTT 2,http://www49.myfantasyleague.com/2022/home/47601
97,47806,zzz #FCEliminator NON scoring site TRADE ADDICTS 1,http://www48.myfantasyleague.com/2022/home/47806
98,48054,zzz #FCEliminator 2022 JOHN BAUER,http://www49.myfantasyleague.com/2022/home/48054
99,48423,zzz #FCEliminator 2022 HOWARD BENDER 2,http://www49.myfantasyleague.com/2022/home/48423
100,49329,zzz #FCEliminator 2022 TRADE ADDICTS 1,http://www49.myfantasyleague.com/2022/home/49329
101,49415,zzz #FCEliminator 2022 TERA ROBERTS,http://www49.myfantasyleague.com/2022/home/49415
102,49545,zzz #FCEliminator 2022 JUSTIN BOONE 1,http://www49.myfantasyleague.com/2022/home/49545
103,49634,zzz #FCEliminator 2022 STEPHIE SMALLS,http://www49.myfantasyleague.com/2022/home/49634
104,49751,zzz #FCEliminator 2022 JEN PIACENTI,http://www49.myfantasyleague.com/2022/home/49751
105,50291,zzz #FCEliminator 2022 DYNASTY TIME MACHINE,http://www49.myfantasyleague.com/2022/home/50291
106,50326,zzz #FCEliminator 2022 DYNASTY TRADE CALCULATOR PODCAST,http://www49.myfantasyleague.com/2022/home/50326
107,50346,zzz #FCEliminator 2022 TAGS BENEFIT (PAT FITZMAURICE),http://www49.myfantasyleague.com/2022/home/50346
108,50469,zzz #FCEliminator 2022 ADDISON HAYES,http://www49.myfantasyleague.com/2022/home/50469
109,50763,zzz #FCEliminator 2022 DYNASTY_DADFF	,http://www49.myfantasyleague.com/2022/home/50763
110,51164,zzz #FCEliminator 2022 SCOTT FISH 3,http://www49.myfantasyleague.com/2022/home/51164
111,52021,zzz #FCEliminator NON scoring site BOSCH AUCTION 1 ,http://www48.myfantasyleague.com/2022/home/52021
112,52022,zzz #FCEliminator 2022 TAGS BENEFIT (ANDREW ERICKSON),http://www49.myfantasyleague.com/2022/home/52022
113,52100,zzz #FCEliminator 2022 MIKE WRIGHT 2,http://www49.myfantasyleague.com/2022/home/52100
114,52136,zzz #FCEliminator 2022 RYAN HALLAM,http://www49.myfantasyleague.com/2022/home/52136
115,52148,zzz #FCEliminator 2022 MATT HARMON 1,http://www49.myfantasyleague.com/2022/home/52148
116,52324,zzz #FCEliminator 2022 LINDELLIONS (WITH PUNTERS)	2,http://www49.myfantasyleague.com/2022/home/52324
117,52413,zzz #FCEliminator 2022 RYAN MCDOWELL 3	,http://www49.myfantasyleague.com/2022/home/52413
118,52698,zzz #FCEliminator 2022 CHRIS TOWERS,http://www49.myfantasyleague.com/2022/home/52698
119,53136,zzz #FCEliminator 2022 JAMES KOH,http://www49.myfantasyleague.com/2022/home/53136
120,53205,zzz #FCEliminator 2022 PETE DAVIDSON (ROTOBAHN),http://www49.myfantasyleague.com/2022/home/53205
121,53384,zzz #FCEliminator 2022 SAM LANE (STOMPY),http://www49.myfantasyleague.com/2022/home/53384
122,53667,zzz #FCEliminator 2022 JACOB RICKRODE,http://www49.myfantasyleague.com/2022/home/53667
123,54260,zzz #FCEliminator 2022 THE OPEN BAR POD (JMIC AND GABE),http://www49.myfantasyleague.com/2022/home/54260
124,54586,zzz #FCEliminator 2022 DREW DAVENPORT,http://www49.myfantasyleague.com/2022/home/54586
125,54659,zzz #FCEliminator 2022 DAN SAINIO,http://www49.myfantasyleague.com/2022/home/54659
126,55757,zzz #FCEliminator 2022 KATE MAGDZIUK,http://www49.myfantasyleague.com/2022/home/55757
127,55976,zzz #FCEliminator 2022 JASON MOORE 1	,http://www49.myfantasyleague.com/2022/home/55976
128,56258,zzz #FCEliminator 2022 HEATH CUMMINGS 5,http://www49.myfantasyleague.com/2022/home/56258
129,56306,zzz #FCEliminator 2022 DYNASTY JUNKIES PODCAST,http://www49.myfantasyleague.com/2022/home/56306
130,56572,zzz #FCEliminator 2022 LIZ LOZA,http://www49.myfantasyleague.com/2022/home/56572
131,56597,zzz #FCEliminator 2022 ELIOT CRIST,http://www49.myfantasyleague.com/2022/home/56597
132,57126,zzz #FCEliminator NON scoring site BOSCH BBID,http://www48.myfantasyleague.com/2022/home/57126
133,57542,Fantasy Cares Eliminator 2022 FANTASY DIRT,http://www49.myfantasyleague.com/2022/home/57542
134,58081,zzz #FCEliminator 2022 JAMEY EISENBERG,http://www49.myfantasyleague.com/2022/home/58081
135,58163,zzz #FCEliminator 2022 BOB LUNG,http://www49.myfantasyleague.com/2022/home/58163
136,58434,zzz #FCEliminator 2022 JOEY WRIGHT 2,http://www49.myfantasyleague.com/2022/home/58434
137,58511,zzz #FCEliminator 2022 ZACHARY KRUEGER,http://www49.myfantasyleague.com/2022/home/58511
138,59377,zzz #FCEliminator 2022 SIGMUND BLOOM 1	,http://www49.myfantasyleague.com/2022/home/59377
139,59605,zzz #FCEliminator 2022 ROOKIE FEVER 1,http://www49.myfantasyleague.com/2022/home/59605
140,59877,zzz #FCEliminator 2022 JAMES RODAY RODRIGUEZ,http://www49.myfantasyleague.com/2022/home/59877
141,60388,zzz #FCEliminator 2022 THE MANZ (PETE MANZINELLI),http://www49.myfantasyleague.com/2022/home/60388
142,60406,zzz #FCEliminator 2022 JASON MOORE 2,http://www49.myfantasyleague.com/2022/home/60406
143,61127,zzz #FCEliminator 2022 FFGHOST,http://www49.myfantasyleague.com/2022/home/61127
144,61197,zzz #FCEliminator 2022 JEN PIACENTI 2,http://www49.myfantasyleague.com/2022/home/61197
145,61492,zzz #FCEliminator 2022 PAT JAMES,http://www49.myfantasyleague.com/2022/home/61492
146,62135,zzz #FCEliminator 2022 HEATH CUMMINGS 6,http://www49.myfantasyleague.com/2022/home/62135
147,62161,zzz #FCEliminator 2022 ROOKIE FEVER 3 (ROOKIES ONLY)	,http://www49.myfantasyleague.com/2022/home/62161
148,62399,zzz #FCEliminator 2022 DANIEL DOPP,http://www49.myfantasyleague.com/2022/home/62399
149,62718,zzz #FCEliminator 2022 THE FANTASY AUTHORITY,http://www49.myfantasyleague.com/2022/home/62718
150,63085,zzz #FCEliminator 2022 BOB HARRIS 2,http://www49.myfantasyleague.com/2022/home/63085
151,64278,zzz #FCEliminator NON scoring site TRADE ADDICTS 2,http://www48.myfantasyleague.com/2022/home/64278
152,64561,zzz #FCEliminator NON scoring site BOSCH AUCTION 2,http://www48.myfantasyleague.com/2022/home/64561
153,64627,zzz #FCEliminator 2022 JJ ZACHARIASON 1,http://www49.myfantasyleague.com/2022/home/64627
154,65161,zzz #FCEliminator 2022 HEATH CUMMINGS 4,http://www49.myfantasyleague.com/2022/home/65161
155,65374,zzz #FCEliminator 2022 DENNY CARTER 1,http://www49.myfantasyleague.com/2022/home/65374
156,65619,zzz #FCEliminator 2022 JAKE ANDERSON,http://www49.myfantasyleague.com/2022/home/65619
157,65870,zzz #FCEliminator 2022 BEN GRETCH,http://www49.myfantasyleague.com/2022/home/65870
158,66083,zzz #FCEliminator 2022 BOSCH BBID,http://www49.myfantasyleague.com/2022/home/66083
159,66117,zzz #FCEliminator 2022 PETRE HOWARD,http://www49.myfantasyleague.com/2022/home/66117
160,66417,zzz #FCEliminator 2022 PAT THORMAN,http://www49.myfantasyleague.com/2022/home/66417
161,66610,zzz #FCEliminator 2022 HERMSNFL,http://www49.myfantasyleague.com/2022/home/66610
162,66677,zzz #FCEliminator 2022 ROOKIE FEVER 2 (ROOKIES ONLY)	,http://www49.myfantasyleague.com/2022/home/66677
163,66682,#FCELIMINATOR DYNASTY,http://www49.myfantasyleague.com/2022/home/66682
164,67067,zzz #FCEliminator 2022 RAY GARVIN,http://www49.myfantasyleague.com/2022/home/67067
165,67088,zzz #FCEliminator 2022 UTH CHAD/JORDAN,http://www49.myfantasyleague.com/2022/home/67088
166,67209,zzz #FCEliminator 2022 HEAVY HITTERS,http://www49.myfantasyleague.com/2022/home/67209
167,67234,zzz #FCEliminator 2022 DAVE RICHARD ($25),http://www49.myfantasyleague.com/2022/home/67234
168,67971,zzz #FCEliminator 2022 STEPHIE SMALLS 2,http://www49.myfantasyleague.com/2022/home/67971
169,68428,zzz #FCEliminator 2022 SAL STEFANILE,http://www49.myfantasyleague.com/2022/home/68428
170,68846,zzz #FCEliminator 2022 FANTASY MOJO,http://www49.myfantasyleague.com/2022/home/68846
171,69061,zzz #FCEliminator 2022 JOEY WRIGHT 1,http://www49.myfantasyleague.com/2022/home/69061
172,69066,zzz #FCEliminator 2022 JODY SMITH,http://www49.myfantasyleague.com/2022/home/69066
173,69210,zzz #FCEliminator 2022 SHANE MANILA (TRADING),http://www49.myfantasyleague.com/2022/home/69210
174,69337,zzz #FCEliminator 2022 DLF POD TEAM	,http://www49.myfantasyleague.com/2022/home/69337
175,69569,zzz #FCEliminator NON scoring site SHANE MANILA (TRADING),http://www48.myfantasyleague.com/2022/home/69569
176,69726,zzz #FCEliminator 2022 BOSCH NO NEGATIVES FOR ATTEMPTS/TARGETS,http://www49.myfantasyleague.com/2022/home/69726
177,69867,zzz #FCEliminator 2022 BRANDON MARIANNE LEE,http://www49.myfantasyleague.com/2022/home/69867
178,69902,zzz #FCEliminator 2022 RYAN MCDOWELL 2	,http://www49.myfantasyleague.com/2022/home/69902
179,70807,zzz #FCEliminator 2022 LIZ LOZA 2,http://www49.myfantasyleague.com/2022/home/70807
180,70963,zzz #FCEliminator 2022 TRADE ADDICTS POD 2 (TRADING),http://www49.myfantasyleague.com/2022/home/70963
181,71047,zzz #FCEliminator 2022 MATT SCHAUF,http://www49.myfantasyleague.com/2022/home/71047
182,71705,zzz #FCEliminator 2022 DENNY CARTER 2,http://www49.myfantasyleague.com/2022/home/71705
183,72187,zzz #FCEliminator 2022 JOHN PAULSEN,http://www49.myfantasyleague.com/2022/home/72187
184,72284,zzz #FCEliminator 2022 JASON MOORE 3,http://www49.myfantasyleague.com/2022/home/72284
185,72286,Foursports Eliminator,http://www79.myfantasyleague.com/2022/home/72286
186,73391,zzz #FCEliminator 2022 JOHN LAUB,http://www49.myfantasyleague.com/2022/home/73391
187,73586,zzz #FCEliminator 2022 COOTERDOODLE 2,http://www49.myfantasyleague.com/2022/home/73586
188,74339,zzz #FCEliminator 2022 COOTERDOODLE 1,http://www49.myfantasyleague.com/2022/home/74339
189,74934,zzz #FCEliminator 2022 HOWARD BENDER 1,http://www49.myfantasyleague.com/2022/home/74934
