,player_id,player,team,position,score,min,max,adp,count
108,13589,"Allen, Josh",BUF,QB,0,1.0,3.0,1.4,19
180,14779,"Herbert, Justin",LAC,QB,0,1.0,5.0,2.9,19
187,14802,"Taylor, Jonathan",IND,RB,0,1.0,10.0,3.2,19
68,13116,"Mahomes, Patrick",KCC,QB,0,2.0,6.0,3.7,19
111,13593,"Jackson, Lamar",BAL,QB,0,4.0,11.0,6.8,19
178,14777,"Burrow, Joe",CIN,QB,0,4.0,14.0,7.6,19
147,14056,"Murray, Kyler",ARI,QB,0,3.0,13.0,7.7,19
84,13164,"Kupp, Cooper",LAR,WR,0,3.0,23.0,8.9,19
71,13130,"McCaffrey, Christian",CAR,RB,0,2.0,18.0,10.7,19
16,11244,"Kelce, Travis",KCC,TE,0,3.0,23.0,11.1,19
298,5848,"Brady, Tom",TBB,QB,0,5.0,19.0,13.5,19
6,10703,"Wilson, Russell",DEN,QB,0,8.0,19.0,13.7,19
52,12620,"Prescott, Dak",DAL,QB,0,7.0,21.0,13.7,19
181,14783,"Hurts, Jalen",PHI,QB,0,9.0,21.0,14.6,19
194,14836,"Jefferson, Justin",MIN,WR,0,6.0,22.0,14.9,19
104,13404,"Ekeler, Austin",LAC,RB,0,8.0,25.0,16.3,19
299,7836,"Rodgers, Aaron",GBP,QB,0,8.0,24.0,17.6,19
54,12626,"Henry, Derrick",TEN,RB,0,10.0,31.0,18.0,19
128,13671,"Andrews, Mark",BAL,TE,0,8.0,32.0,18.7,19
305,9431,"Stafford, Matthew",LAR,QB,0,14.0,29.0,19.1,19
235,15281,"Chase, Ja'Marr",CIN,WR,0,8.0,28.0,19.8,19
69,13128,"Cook, Dalvin",MIN,RB,0,14.0,29.0,21.6,19
224,15254,"Harris, Najee",PIT,RB,0,8.0,30.0,22.5,19
19,11644,"Carr, Derek",LVR,QB,0,16.0,34.0,24.4,19
72,13131,"Mixon, Joe",CIN,RB,0,9.0,34.0,25.5,19
5,10700,"Cousins, Kirk",MIN,QB,0,18.0,46.0,26.4,19
24,11675,"Adams, Davante",LVR,WR,0,20.0,40.0,28.6,19
220,15240,"Lance, Trey",SFO,QB,0,20.0,45.0,30.1,19
247,15329,"Pitts, Kyle",ATL,TE,0,22.0,42.0,30.5,19
182,14797,"Swift, D'Andre",DET,RB,0,22.0,39.0,30.6,19
43,12186,"Diggs, Stefon",BUF,WR,0,23.0,38.0,32.3,19
191,14832,"Lamb, CeeDee",DAL,WR,0,27.0,44.0,35.6,19
179,14778,"Tagovailoa, Tua",MIA,QB,0,24.0,55.0,35.7,18
70,13129,"Fournette, Leonard",TBB,RB,0,27.0,49.0,35.8,18
167,14136,"Samuel, Deebo",SFO,WR,0,23.0,42.0,35.9,18
116,13610,"Chubb, Nick",CLE,RB,0,29.0,46.0,36.1,19
112,13604,"Barkley, Saquon",NYG,RB,0,23.0,50.0,37.2,19
96,13319,"Jones, Aaron",GBP,RB,0,26.0,45.0,37.3,19
73,13132,"Kamara, Alvin",NOS,RB,0,16.0,64.0,40.7,19
63,12801,"Hill, Tyreek",MIA,WR,0,33.0,51.0,41.1,18
46,12263,"Waller, Darren",LVR,TE,0,14.0,57.0,41.1,18
226,15256,"Williams, Javonte",DEN,RB,0,33.0,53.0,42.3,18
22,11671,"Evans, Mike",TBB,WR,0,35.0,52.0,43.9,18
304,9099,"Ryan, Matt",IND,QB,0,26.0,73.0,44.4,17
4,10697,"Tannehill, Ryan",TEN,QB,0,25.0,95.0,47.3,18
94,13299,"Kittle, George",SFO,TE,0,34.0,70.0,47.5,17
53,12625,"Elliott, Ezekiel",DAL,RB,0,40.0,65.0,48.1,17
160,14104,"Brown, A.J.",PHI,WR,0,39.0,58.0,48.5,19
78,13146,"Conner, James",ARI,RB,0,35.0,64.0,48.6,18
12,11222,"Allen, Keenan",LAC,WR,0,37.0,61.0,49.6,18
150,14071,"Montgomery, David",CHI,RB,0,37.0,69.0,51.0,18
193,14835,"Higgins, Tee",CIN,WR,0,41.0,65.0,52.4,17
199,14842,"Pittman, Michael",IND,WR,0,44.0,65.0,53.4,18
184,14799,"Akers, Cam",LAR,RB,0,44.0,70.0,54.5,17
218,15238,"Fields, Justin",CHI,QB,0,30.0,97.0,55.3,17
223,15253,"Etienne, Travis",JAC,RB,0,47.0,70.0,55.9,17
238,15284,"Waddle, Jaylen",MIA,WR,0,46.0,69.0,57.8,17
257,15708,"Hall, Breece",NYJ,RB,0,48.0,65.0,58.1,17
217,15237,"Lawrence, Trevor",JAC,QB,0,37.0,83.0,59.6,18
172,14208,"Johnson, Diontae",PIT,WR,0,42.0,78.0,60.2,17
203,14852,"Gibson, Antonio",WAS,RB,0,43.0,78.0,63.5,17
152,14073,"Jacobs, Josh",LVR,RB,0,46.0,81.0,65.5,16
159,14102,"Metcalf, DK",SEA,WR,0,57.0,81.0,65.7,17
185,14800,"Dobbins, J.K.",BAL,RB,0,50.0,79.0,66.7,17
137,13772,"Schultz, Dalton",DAL,TE,0,47.0,87.0,66.8,17
80,13154,"Williams, Mike",LAC,WR,0,38.0,88.0,67.7,17
162,14109,"McLaurin, Terry",WAS,WR,0,54.0,82.0,68.0,17
221,15241,"Jones, Mac",NEP,QB,0,33.0,109.0,68.1,16
124,13635,"Moore, D.J.",CAR,WR,0,58.0,82.0,68.1,17
169,14138,"Hockenson, T.J.",DET,TE,0,41.0,93.0,70.1,17
161,14105,"Brown, Marquise",ARI,WR,0,56.0,81.0,70.8,17
232,15263,"Mitchell, Elijah",SFO,RB,0,56.0,94.0,74.1,16
23,11674,"Cooks, Brandin",HOU,WR,0,65.0,84.0,74.8,17
40,12175,"Cooper, Amari",CLE,WR,0,68.0,92.0,76.1,16
25,11678,"Robinson, Allen",LAR,WR,0,57.0,94.0,76.4,17
83,13163,"Godwin, Chris",TBB,WR,0,62.0,96.0,78.3,15
120,13630,"Sutton, Courtland",DEN,WR,0,59.0,92.0,78.4,17
212,14974,"Mooney, Darnell",CHI,WR,0,54.0,91.0,78.9,16
188,14803,"Edwards-Helaire, Clyde",KCC,RB,0,58.0,95.0,79.5,17
243,15293,"Bateman, Rashod",BAL,WR,0,63.0,91.0,79.7,15
130,13674,"Goedert, Dallas",PHI,TE,0,64.0,96.0,80.5,17
189,14805,"Dillon, AJ",GBP,RB,0,59.0,101.0,80.6,16
36,12140,"Winston, Jameis",NOS,QB,0,39.0,142.0,81.1,17
33,11938,"Thielen, Adam",MIN,WR,0,57.0,96.0,81.7,15
154,14079,"Sanders, Miles",PHI,RB,0,72.0,94.0,85.1,15
81,13156,"Smith-Schuster, JuJu",KCC,WR,0,50.0,108.0,86.2,16
49,12610,"Wentz, Carson",WAS,QB,0,44.0,124.0,87.6,16
192,14833,"Jeudy, Jerry",DEN,WR,0,75.0,103.0,88.5,15
17,11247,"Ertz, Zach",ARI,TE,0,63.0,112.0,89.9,15
153,14075,"Harris, Damien",NEP,RB,0,71.0,104.0,93.5,15
239,15287,"St. Brown, Amon-Ra",DET,WR,0,84.0,116.0,94.1,15
149,14059,"Jones, Daniel",NYG,QB,0,51.0,123.0,94.3,14
259,15711,"Walker III, Kenneth",SEA,RB,0,59.0,113.0,94.4,14
201,14845,"Davis, Gabriel",BUF,WR,0,84.0,108.0,94.5,15
219,15239,"Wilson, Zach",NYJ,QB,0,46.0,156.0,96.2,15
272,15751,"London, Drake",ATL,WR,0,83.0,110.0,96.3,15
155,14080,"Singletary, Devin",BUF,RB,0,80.0,120.0,97.4,14
58,12652,"Thomas, Michael",NOS,WR,0,70.0,115.0,97.6,14
13,11225,"Patterson, Cordarrelle",ATL,RB,0,79.0,112.0,97.9,14
76,13138,"Hunt, Kareem",CLE,RB,0,74.0,110.0,98.2,14
165,14123,"Renfrow, Hunter",LVR,WR,0,83.0,116.0,99.6,14
240,15288,"Moore, Elijah",NYJ,WR,0,82.0,113.0,100.1,15
236,15282,"Smith, DeVonta",PHI,WR,0,84.0,118.0,101.7,14
157,14085,"Pollard, Tony",DAL,RB,0,86.0,121.0,102.0,15
115,13608,"Penny, Rashaad",SEA,RB,0,78.0,124.0,103.8,14
135,13726,"Edmonds, Chase",MIA,RB,0,82.0,126.0,104.9,14
50,12611,"Goff, Jared",DET,QB,0,65.0,143.0,105.7,14
197,14840,"Aiyuk, Brandon",SFO,WR,0,74.0,120.0,108.4,14
44,12187,"Lockett, Tyler",SEA,WR,0,98.0,119.0,108.8,14
15,11232,"Hopkins, DeAndre",ARI,WR,0,91.0,126.0,111.3,14
222,15252,"Mills, Davis",HOU,QB,0,48.0,150.0,111.6,14
273,15752,"Burks, Treylon",TEN,WR,0,87.0,138.0,113.2,14
171,14143,"Knox, Dawson",BUF,TE,0,85.0,136.0,113.6,15
38,12151,"Gordon, Melvin",DEN,RB,0,86.0,125.0,113.7,14
14,11228,"Woods, Robert",TEN,WR,0,94.0,144.0,113.8,14
122,13632,"Lazard, Allen",GBP,WR,0,103.0,126.0,114.3,14
123,13633,"Kirk, Christian",JAC,WR,0,95.0,126.0,115.7,14
198,14841,"Claypool, Chase",PIT,WR,0,85.0,143.0,116.7,12
129,13672,"Gesicki, Mike",MIA,TE,0,101.0,134.0,117.4,14
139,13809,"Gage, Russell",TBB,WR,0,102.0,129.0,117.4,14
249,15331,"Freiermuth, Pat",PIT,TE,0,62.0,132.0,118.7,14
290,15789,"Watson, Christian",GBP,WR,0,105.0,152.0,121.7,14
206,14867,"Kmet, Cole",CHI,TE,0,80.0,154.0,121.8,13
262,15715,"Cook, James",BUF,RB,0,105.0,146.0,123.8,13
229,15259,"Stevenson, Rhamondre",NEP,RB,0,107.0,152.0,125.4,13
190,14813,"Robinson, James",JAC,RB,0,106.0,143.0,127.9,12
275,15754,"Olave, Chris",NOS,WR,0,110.0,161.0,128.7,13
274,15753,"Wilson, Garrett",NYJ,WR,0,107.0,168.0,130.1,14
66,13113,"Watson, Deshaun",CLE,QB,0,36.0,211.0,131.5,13
126,13646,"Gallup, Michael",DAL,WR,0,125.0,140.0,133.1,14
127,13668,"Chark, D.J.",DET,WR,0,115.0,175.0,137.0,12
241,15289,"Toney, Kadarius",NYG,WR,0,116.0,158.0,137.2,12
27,11680,"Landry, Jarvis",NOS,WR,0,98.0,171.0,138.1,12
168,14137,"Fant, Noah",SEA,TE,0,121.0,171.0,139.2,13
208,14873,"Okwuegbunam, Albert",DEN,TE,0,105.0,176.0,139.5,11
284,15766,"Moore, Skyy",KCC,WR,0,125.0,164.0,139.9,12
9,10976,"Tucker, Justin",BAL,PK,0,81.0,187.0,141.8,12
166,14127,"Meyers, Jakobi",NEP,WR,0,127.0,180.0,141.8,13
41,12176,"Parker, DeVante",NEP,WR,0,117.0,173.0,142.1,10
90,13234,"Mack, Marlon",HOU,RB,0,127.0,160.0,143.1,11
173,14223,"Mattison, Alexander",MIN,RB,0,121.0,167.0,143.2,11
228,15258,"Carter, Michael",NYJ,RB,0,121.0,167.0,144.3,12
57,12650,"Boyd, Tyler",CIN,WR,0,108.0,174.0,144.6,11
113,13606,"Jones, Ronald",KCC,RB,0,131.0,157.0,144.6,11
91,13236,"Everett, Gerald",LAC,TE,0,105.0,169.0,144.9,11
170,14141,"Smith Jr., Irv",MIN,TE,0,130.0,160.0,145.9,12
60,12676,"Henry, Hunter",NEP,TE,0,114.0,165.0,147.4,12
88,13192,"Njoku, David",CLE,TE,0,120.0,195.0,147.4,11
158,14087,"Henderson, Darrell",LAR,RB,0,111.0,177.0,147.6,12
65,13108,"McKissic, J.D.",WAS,RB,0,123.0,175.0,148.5,11
117,13622,"Hines, Nyheim",IND,RB,0,119.0,172.0,149.2,10
264,15717,"Pierce, Dameon",HOU,RB,0,128.0,180.0,150.6,10
37,12141,"Mariota, Marcus",ATL,QB,0,106.0,203.0,151.1,10
277,15756,"Williams, Jameson",DET,WR,0,110.0,174.0,151.9,10
254,15692,"Pickett, Kenny",PIT,QB,0,123.0,203.0,152.1,8
35,12110,"Brate, Cameron",TBB,TE,0,102.0,190.0,154.5,11
138,13793,"Valdes-Scantling, Marquez",KCC,WR,0,126.0,197.0,155.1,11
250,15368,"McPherson, Evan",CIN,PK,0,114.0,195.0,156.9,9
266,15721,"White, Rachaad",TBB,RB,0,120.0,205.0,157.8,9
93,13277,"Golladay, Kenny",NYG,WR,0,126.0,185.0,160.2,10
2,10276,"Ingram, Mark",NOS,RB,0,119.0,201.0,161.1,10
233,15271,"Herbert, Khalil",CHI,RB,0,117.0,182.0,161.6,10
237,15283,"Moore, Rondale",ARI,WR,0,138.0,186.0,161.8,10
109,13590,"Mayfield, Baker",CLE,QB,0,120.0,217.0,162.3,9
100,13377,"Patrick, Tim",DEN,WR,0,137.0,198.0,162.5,10
164,14113,"Hardman, Mecole",KCC,WR,0,136.0,204.0,162.6,10
270,15746,"Davis-Price, Tyrion",SFO,RB,0,136.0,207.0,162.7,9
105,13418,"Bourne, Kendrick",NEP,WR,0,116.0,203.0,162.8,10
225,15255,"Gainwell, Kenneth",PHI,RB,0,152.0,178.0,163.5,10
258,15709,"Spiller, Isaiah",LAC,RB,0,137.0,184.0,163.6,9
79,13153,"Davis, Corey",NYJ,WR,0,129.0,195.0,165.0,8
67,13115,"Trubisky, Mitchell",PIT,QB,0,86.0,214.0,166.2,12
7,10738,"Jones, Marvin",JAC,WR,0,122.0,192.0,167.4,11
107,13427,"Tonyan, Robert",GBP,TE,0,146.0,185.0,168.6,10
276,15755,"Dotson, Jahan",WAS,WR,0,147.0,191.0,168.9,10
260,15712,"Allgeier, Tyler",ATL,RB,0,143.0,193.0,170.4,10
87,13189,"Engram, Evan",JAC,TE,0,139.0,226.0,170.6,11
134,13718,"Carlson, Daniel",LVR,PK,0,121.0,220.0,171.4,9
282,15762,"Pickens, George",PIT,WR,0,119.0,210.0,171.4,9
133,13680,"Hurst, Hayden",CIN,TE,0,124.0,216.0,171.6,10
20,11647,"Thomas, Logan",WAS,TE,0,131.0,206.0,174.1,9
142,13850,"Edwards, Gus",BAL,RB,0,152.0,197.0,175.8,8
106,13424,"Hill, Taysom",NOS,TE,0,160.0,210.0,175.8,9
118,13623,"Williams, Darrel",ARI,RB,0,144.0,202.0,178.8,8
62,12678,"Higbee, Tyler",LAR,TE,0,156.0,213.0,180.9,9
227,15257,"Sermon, Trey",SFO,RB,0,182.0,182.0,182.0,1
42,12184,"Crowder, Jamison",BUF,WR,0,161.0,214.0,187.1,9
174,14244,"Gay, Matt",LAR,PK,0,167.0,218.0,188.8,8
278,15757,"Robinson, Wan'Dale",NYG,WR,0,154.0,223.0,189.2,5
205,14858,"Jefferson, Van",LAR,WR,0,138.0,209.0,190.6,9
214,14983,"Bass, Tyler",BUF,PK,0,164.0,210.0,191.8,8
77,13139,"Williams, Jamaal",DET,RB,0,161.0,224.0,192.5,8
10,11150,"Smith, Geno",SEA,QB,0,146.0,238.0,193.9,7
61,12677,"Hooper, Austin",TEN,TE,0,169.0,218.0,194.0,9
51,12616,"Brissett, Jacoby",CLE,QB,0,165.0,224.0,194.6,7
29,11760,"Garoppolo, Jimmy",SFO,QB,0,154.0,253.0,195.4,7
286,15768,"Pierce, Alec",IND,WR,0,168.0,218.0,195.9,7
200,14844,"Edwards, Bryan",ATL,WR,0,154.0,232.0,197.0,7
231,15261,"Hubbard, Chuba",CAR,RB,0,165.0,250.0,198.6,5
279,15758,"Bell, David",CLE,WR,0,169.0,221.0,199.1,7
114,13607,"Michel, Sony",MIA,RB,0,177.0,228.0,199.5,8
263,15716,"Robinson, Brian",WAS,RB,0,171.0,229.0,200.1,7
302,8851,"Folk, Nick",NEP,PK,0,171.0,222.0,200.4,8
307,9902,"Gronkowski, Rob",FA,TE,0,183.0,238.0,200.4,5
132,13676,"Smythe, Durham",MIA,TE,0,184.0,234.0,201.6,7
216,15109,"Westbrook-Ikhine, Nick",TEN,WR,0,178.0,237.0,202.3,3
75,13134,"Foreman, D'Onta",CAR,RB,0,190.0,210.0,202.4,7
242,15290,"Collins, Nico",HOU,WR,0,167.0,225.0,203.4,7
306,9686,"Succop, Ryan",TBB,PK,0,168.0,227.0,203.7,6
261,15714,"White, Zamir",LVR,RB,0,173.0,236.0,205.6,7
268,15733,"Strong Jr., Pierre",NEP,RB,0,181.0,231.0,206.0,2
59,12658,"Shepard, Sterling",NYG,WR,0,190.0,241.0,206.2,4
213,14977,"Osborn, K.J.",MIN,WR,0,189.0,255.0,206.6,8
98,13354,"Butker, Harrison",KCC,PK,0,166.0,236.0,206.9,7
48,12447,"Mostert, Raheem",MIA,RB,0,187.0,246.0,206.9,8
146,13994,"Brown, Pharaoh",HOU,TE,0,189.0,236.0,208.2,5
101,13378,"Breida, Matt",NYG,RB,0,210.0,210.0,210.0,1
85,13176,"Jones, Zay",JAC,WR,0,183.0,238.0,210.5,2
246,15319,"Palmer, Josh",LAC,WR,0,188.0,226.0,211.4,7
248,15330,"Jordan, Brevin",HOU,TE,0,196.0,247.0,212.8,8
18,11387,"Hopkins, Dustin",LAC,PK,0,188.0,236.0,213.0,5
21,11670,"Watkins, Sammy",GBP,WR,0,178.0,228.0,213.2,6
292,15797,"Dulcich, Greg",DEN,TE,0,198.0,241.0,213.3,7
207,14870,"Trautman, Adam",NOS,TE,0,197.0,223.0,213.8,6
3,10308,"Cobb, Randall",GBP,WR,0,214.0,214.0,214.0,1
131,13675,"Conklin, Tyler",NYJ,TE,0,171.0,259.0,214.3,3
110,13592,"Darnold, Sam",CAR,QB,0,166.0,250.0,214.4,5
102,13382,"Seals-Jones, Ricky",NYG,TE,0,212.0,217.0,214.5,2
253,15691,"Corral, Matt",CAR,QB,0,182.0,248.0,214.5,4
119,13629,"Ridley, Calvin",ATL,WR,0,215.0,215.0,215.0,1
196,14838,"Shenault, Laviska",JAC,WR,0,190.0,251.0,215.0,5
151,14072,"Snell, Benny",PIT,RB,0,215.0,215.0,215.0,1
265,15720,"Haskins, Hassan",TEN,RB,0,183.0,252.0,215.4,7
34,11947,"McManus, Brandon",DEN,PK,0,179.0,255.0,216.0,4
267,15725,"Conner, Snoop",JAC,RB,0,193.0,239.0,216.0,2
99,13364,"Carson, Chris",SEA,RB,0,200.0,243.0,216.2,5
202,14847,"Duvernay, Devin",BAL,WR,0,181.0,238.0,216.2,6
82,13157,"Samuel, Curtis",WAS,WR,0,145.0,252.0,216.3,7
289,15788,"Tolbert, Jalen",DAL,WR,0,145.0,247.0,216.6,9
156,14081,"Gaskin, Myles",MIA,RB,0,182.0,258.0,216.7,3
64,12930,"Anderson, Robbie",CAR,WR,0,189.0,248.0,217.3,6
86,13188,"Howard, O.J.",BUF,TE,0,218.0,218.0,218.0,1
204,14857,"Peoples-Jones, Donovan",CLE,WR,0,176.0,258.0,219.6,7
163,14112,"Campbell, Parris",IND,WR,0,199.0,245.0,219.7,6
26,11679,"Beckham, Odell",FA,WR,0,183.0,234.0,220.0,7
269,15734,"Ingram, Keaontay",ARI,RB,0,211.0,230.0,220.5,2
89,13193,"Smith, Jonnu",NEP,TE,0,215.0,226.0,220.5,2
55,12630,"Drake, Kenyan",LVR,RB,0,177.0,257.0,220.8,6
256,15697,"Ridder, Desmond",ATL,QB,0,194.0,252.0,222.6,5
56,12647,"Fuller, Will",FA,WR,0,216.0,230.0,223.0,2
175,14331,"Johnson, D'Ernest",CLE,RB,0,195.0,249.0,224.2,8
74,13133,"Perine, Samaje",CIN,RB,0,222.0,227.0,224.5,2
47,12317,"Uzomah, C.J.",NYJ,TE,0,179.0,247.0,224.6,7
11,11182,"Burkhead, Rex",HOU,RB,0,196.0,251.0,224.6,7
92,13246,"Alie-Cox, Mo",IND,TE,0,198.0,240.0,224.7,6
234,15275,"Evans, Chris",CIN,RB,0,162.0,262.0,225.2,4
245,15308,"Marshall, Terrace",CAR,WR,0,184.0,247.0,225.5,6
103,13403,"Koo, Younghoe",ATL,PK,0,204.0,240.0,225.7,6
210,14876,"Deguara, Josiah",GBP,TE,0,226.0,226.0,226.0,1
0,10261,"Green, A.J.",ARI,WR,0,198.0,254.0,227.5,4
211,14912,"Blankenship, Rodrigo",IND,PK,0,183.0,251.0,228.2,5
293,15802,"Otton, Cade",TBB,TE,0,222.0,233.0,228.4,5
8,10868,"Zuerlein, Greg",NYJ,PK,0,230.0,230.0,230.0,1
144,13880,"Arnold, Dan",JAC,TE,0,231.0,231.0,231.0,1
186,14801,"Benjamin, Eno",ARI,RB,0,215.0,264.0,231.0,4
45,12257,"Conley, Chris",HOU,WR,0,231.0,231.0,231.0,1
303,8930,"Prater, Matt",ARI,PK,0,215.0,249.0,231.8,4
230,15260,"Patterson, Jaret",WAS,RB,0,232.0,232.0,232.0,1
31,11886,"Williams, Damien",ATL,RB,0,227.0,238.0,232.5,2
148,14057,"Lock, Drew",SEA,QB,0,205.0,262.0,232.8,4
121,13631,"Washington, James",DAL,WR,0,235.0,235.0,235.0,1
176,14337,"Guyton, Jalen",LAC,WR,0,225.0,245.0,235.0,2
280,15759,"Metchie, John",HOU,WR,0,207.0,263.0,235.6,5
291,15794,"McBride, Trey",ARI,TE,0,232.0,244.0,236.6,5
1,10271,"Jones, Julio",FA,WR,0,219.0,246.0,237.8,4
32,11936,"Boswell, Chris",PIT,PK,0,231.0,244.0,238.0,5
143,13863,"Pringle, Byron",CHI,WR,0,218.0,264.0,238.3,3
39,12164,"Davis, Mike",BAL,RB,0,237.0,243.0,240.0,2
141,13832,"Sanders, Jason",MIA,PK,0,237.0,245.0,240.0,3
255,15694,"Willis, Malik",TEN,QB,0,229.0,253.0,240.2,4
136,13753,"Akins, Jordan",NYG,TE,0,241.0,241.0,241.0,1
281,15761,"Shakir, Khalil",BUF,WR,0,241.0,241.0,241.0,1
183,14798,"Moss, Zack",BUF,RB,0,242.0,242.0,242.0,1
30,11761,"McKinnon, Jerick",KCC,RB,0,229.0,256.0,242.5,2
195,14837,"Hamler, KJ",DEN,WR,0,231.0,261.0,242.7,3
295,15882,"York, Cade",CLE,PK,0,239.0,248.0,243.5,2
283,15763,"Ross, Justyn",KCC,WR,0,241.0,246.0,243.5,2
301,8742,"Crosby, Mason",GBP,PK,0,243.0,245.0,244.0,2
244,15297,"Rodgers, Amari",GBP,WR,0,232.0,256.0,244.0,2
296,15901,"Philips, Kyle",TEN,WR,0,246.0,246.0,246.0,1
294,15840,"Woods, Jelani",IND,TE,0,227.0,263.0,247.7,3
209,14875,"Bryant, Harrison",CLE,TE,0,248.0,248.0,248.0,1
271,15749,"Pacheco, Isiah",KCC,RB,0,249.0,249.0,249.0,1
288,15787,"Thornton, Tyquan",NEP,WR,0,249.0,249.0,249.0,1
125,13638,"Berrios, Braxton",NYJ,WR,0,244.0,258.0,251.0,2
140,13814,"Scott, Boston",PHI,RB,0,251.0,251.0,251.0,1
300,8153,"Gould, Robbie",SFO,PK,0,230.0,262.0,252.2,4
145,13898,"Joseph, Greg",MIN,PK,0,239.0,264.0,252.7,3
177,14341,"Parham, Donald",LAC,TE,0,254.0,254.0,254.0,1
28,11747,"White, James",NEP,RB,0,254.0,254.0,254.0,1
251,15369,"Patterson, Riley",DET,PK,0,250.0,261.0,255.5,2
252,15414,"Nwangwu, Kene",MIN,RB,0,257.0,257.0,257.0,1
215,15034,"Callaway, Marquez",NOS,WR,0,257.0,257.0,257.0,1
285,15767,"Jones, Velus",CHI,WR,0,259.0,259.0,259.0,1
95,13303,"Elliott, Jake",PHI,PK,0,259.0,259.0,259.0,1
297,15967,"Garibay, Jonathan",DAL,PK,0,260.0,260.0,260.0,1
97,13347,"Gonzalez, Zane",CAR,PK,0,260.0,260.0,260.0,1
287,15779,"Doubs, Romeo",GBP,WR,0,260.0,263.0,261.5,2
